ID,Chinese name,Name,CodeName,OverrideNameTextID,NamePrefixID,OverridePartnerSkillTextID,IsPal,Tribe,BPClass,variant,Volume size,rarity,Element 1,Element 2,GenusCategory,Organization,weapon,WeaponEquip,nocturnal,4D total,HP,melee attack,Remote attack,defense,support,Speed of work,Level 1,Level 20,Level 50,AIRResponse,AISightResponse,endurance,slow walking speed,walking speed,running speed,Riding sprint speed,(being) damage multiplier,catch rate,Experience multiplier,price,Must bring entry 1,Must bring entry 2,Numerical description,lv1,lv2,lv3,lv4,lv5,Skill description
91,white velvet snow monster,wumpo,yeti,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::yeti,yeti,nan,l,7,ice,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,420,140,100,80,100,100,100,106-107,220-256,400-490,warlike,nan,100,70,100,365,550,100%,100%,100%,5900,nan,nan,increased weight bearing,120,130,140,150,160,"can be moved around on its back. if yeti is in the team, it will help carry luggage and increase the player's maximum weight limit."
91,green moss velvet,wumpo botan,yeti_grass,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::yeti_grass,yeti_grass,nan,l,8,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,430,140,100,80,110,100,100,106-107,220-256,400-490,warlike,nan,100,70,100,365,550,100%,100%,100%,5700,nan,nan,increased weight bearing,120,130,140,150,160,"can be moved around on its back. if yeti_grass is in the team, it will help carry luggage and increase the player's maximum weight limit."
92,kaigres,warsect,herculesbeetle,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::herculesbeetle,herculesbeetle,nan,l,8,land,wood,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,440,120,100,100,120,100,100,107-109,250-295,475-587,warlike,nan,100,55,110,500,nan,100%,100%,100%,6830,hard skin,nan,defense bonus %,5,6,7,8,10,"when fighting alongside it, the player's defense will be increased and the damage of elemental fire can be mitigated."
93,cloud sea deer,fenglope,fengyundeeper,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::fengyundeeper,fengyundeeper,nan,s,3,generally,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,420,110,110,110,90,100,100,108-110,265-314,512-636,notinterested,nan,100,85,100,750,1050,100%,100%,100%,2250,nan,nan,moving speed%,0,10,12,15,20,can be moved around on its back. two jumps are possible during the ride.
94,night mephit,felbat,catvampire,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::catvampire,catvampire,nan,m,6,dark,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,yes,415,100,100,105,110,110,100,107-110,257-304,493-611,warlike,nan,100,60,100,550,nan,100%,100%,100%,2100,nan,nan,life drain %,2,3,4,5,6,"when fighting alongside it, it can give the player and catvampire a life-stealing effect. this effect can absorb part of the damage when it is applied, and restore common_status_hp."
95,tianyulong,quivern,skydragon,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::skydragon,skydragon,nan,l,7,dragon,no_secondary_type,epalgenuscategorytype::dragon,epalorganizationtype::none,epalweapontype::none,false,nan,405,105,100,100,100,100,100,107-109,250-295,475-587,notinterested,nan,220,120,240,800,950,100%,100%,100%,6830,nan,nan,elemental power bonus%_dragon,50,55,65,80,100,"you can ride on its back to fly in the air, and your elemental dragon attacks will be strengthened while riding."
96,flame glory,blazamut,kingbahamut,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::kingbahamut,kingbahamut,nan,xl,9,fire,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,495,100,150,125,120,50,100,109-112,287-343,568-709,warlike,nan,100,150,400,700,900,100%,100%,100%,10520,emperor yan,nan,elemental power bonus%_fire,50,55,65,80,100,can be moved around on its back. elemental fire attacks during riding will be strengthened.
97,thunderbird,helzephyr,hadesbird,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::hadesbird,hadesbird,nan,l,7,dark,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,yes,425,100,100,125,100,100,100,109-112,287-343,568-709,warlike,nan,170,100,100,700,1100,100%,100%,100%,7840,nan,nan,attack power bonus%,50,55,65,80,100,"you can ride on its back and fly in the air. while mounted, it will grant elemental dark to the player's attacks."
98,demon dragon,astegon,blackmetaldragon,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::blackmetaldragon,blackmetaldragon,nan,xl,9,dragon,dark,epalgenuscategorytype::monster,epalorganizationtype::none,epalweapontype::none,false,yes,450,100,100,125,125,100,100,109-112,287-343,568-709,warlike,nan,300,100,150,600,800,100%,100%,100%,8200,hard skin,nan,mining bonus+,1100,1500,2000,2600,3300,you can ride on its back and fly in the air. can cause greater damage to ores while riding.
99,dark armored scorpion,menasting,darkscorpion,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::darkscorpion,darkscorpion,nan,l,9,dark,land,epalgenuscategorytype::other,epalorganizationtype::none,epalweapontype::none,false,yes,430,100,100,100,130,100,100,107-109,250-295,475-587,warlike,nan,100,100,200,1000,nan,100%,100%,100%,7050,nan,nan,drops increased by %_electricity,40,50,60,70,80,"when fighting side by side with it, the player's defense will be improved. if you knock down the elemental electricity's palu, you can get more dropped items from the pallu."
100,anubis,anubis,anubis,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::anubis,anubis,nan,m,10,land,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,480,120,130,130,100,100,100,109-112,295-353,587-733,warlike,nan,100,80,160,800,nan,100%,100%,100%,4960,yandi,nan,attack power bonus%,5,6,7,8,10,"when fighting alongside it, it will grant the player's attacks elemental earth. during combat, he will occasionally move at high speed to avoid attacks."
101,sea-covering dragon,jormuntide,umihebi,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::umihebi,umihebi,nan,xl,8,dragon,water,epalgenuscategorytype::fish,epalorganizationtype::none,epalweapontype::none,false,nan,500,130,150,120,100,100,100,109-111,280-334,550-685,warlike,nan,100,100,175,525,700,100%,100%,100%,9320,neptune,nan,moving speed%,0,10,12,15,20,can ride on its back and move through the water. moving on water while riding does not consume stamina.
101,teng yanlong,jormuntide ignis,umihebi_fire,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::umihebi_fire,umihebi_fire,yes,xl,9,dragon,fire,epalgenuscategorytype::fish,epalorganizationtype::none,epalweapontype::none,false,nan,510,130,150,130,100,100,100,109-112,295-353,587-733,warlike,nan,100,100,175,525,700,100%,100%,100%,9500,nan,nan,elemental power bonus%_fire,50,55,65,80,100,can be moved around on its back. elemental fire attacks during riding will be strengthened.
102,suzaku,suzaku,suzaku,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::suzaku,suzaku,nan,xl,8,fire,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,nan,430,120,100,105,105,100,100,107-110,257-304,493-611,warlike,nan,280,100,200,850,1100,100%,100%,100%,9840,nan,nan,elemental power bonus%_fire,50,55,65,80,100,"you can ride on its back to fly in the air, and your elemental fire attacks will be strengthened while riding."
102,qingque,suzaku aqua,suzaku_water,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::suzaku_water,suzaku_water,yes,xl,9,water,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,nan,435,125,100,105,105,100,100,107-110,257-304,493-611,warlike,nan,280,100,200,850,1100,100%,100%,100%,10110,nan,nan,elemental power bonus%_water,50,55,65,80,100,"you can ride on its back to fly in the air, and your elemental water attack will be strengthened while riding."
103,lightning bear,grizzbolt,elecpanda,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::elecpanda,elecpanda,yes,l,8,electricity,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,425,105,120,100,100,100,100,107-109,250-295,475-587,warlike,nan,100,80,140,470,550,100%,100%,100%,7720,nan,nan,skill power,6,6.6,7.8,9.6,12,"can be moved around on its back. while mounted, it can also continuously attack with its machine gun."
104,lily queen,lyleen,lilyqueen,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::lilyqueen,lilyqueen,yes,l,9,wood,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,425,110,100,110,105,100,100,108-110,265-314,512-636,notinterested,nan,100,60,100,450,nan,100%,100%,100%,7160,elf king,nan,treatment value,1000,1100,1300,1600,2000,"once activated, the queen's healing ability can be used to restore a large amount of health to the player."
104,black moon queen,lyleen noct,lilyqueen_dark,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::lilyqueen_dark,lilyqueen_dark,yes,l,10,dark,no_secondary_type,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,435,110,100,110,115,100,100,108-110,265-314,512-636,notinterested,nan,100,60,100,450,nan,100%,100%,100%,7610,nan,nan,treatment value,1000,1100,1300,1600,2000,"once activated, the queen's healing ability can be used to restore a large amount of health to the player."
105,horus,faleris,horus,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::horus,horus,yes,l,9,fire,no_secondary_type,epalgenuscategorytype::bird,epalorganizationtype::none,epalweapontype::none,false,nan,415,100,100,105,110,90,100,107-110,257-304,493-611,warlike,nan,230,150,200,1000,1400,100%,100%,100%,6720,nan,nan,drop increased by %_ice,40,50,60,70,80,"you can ride on its back and fly in the air. when fighting alongside it, if you knock down the elemental ice's pallu, you can get more dropped items from that pallu."
106,pollux,orserk,thunderdragonman,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::thunderdragonman,thunderdragonman,yes,l,9,dragon,electricity,epalgenuscategorytype::humanoid,epalorganizationtype::none,epalweapontype::none,false,nan,430,100,100,130,100,100,100,109-112,295-353,587-733,warlike,nan,100,100,185,900,nan,100%,100%,100%,8320,thunder emperor,nan,drop increased by %_water,40,50,60,70,80,"when fighting alongside it, if you knock down the elemental water's pallu, you can get more dropped items from that pallu."
107,heterogeneous griffin,shadowbeak,blackgriffon,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::blackgriffon,blackgriffon,yes,l,10,dark,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,yes,510,120,130,120,140,90,100,109-111,280-334,550-685,warlike,nan,250,80,80,850,1200,100%,100%,100%,9060,nan,nan,elemental power bonus%_dark,50,55,65,80,100,you can ride on its back and fly in the air. elemental dark attacks during riding will be strengthened.
108,knight of light,paladius,saintcentaur,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::saintcentaur,saintcentaur,yes,l,20,generally,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,505,130,110,120,145,100,100,109-111,280-334,550-685,warlike,nan,100,50,100,800,1400,100%,100%,100%,8810,legend,holy day,moving speed%,0,10,12,15,20,can be moved around on its back. three jumps are possible during the ride.
109,chaos knight,necromus,blackcentaur,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::blackcentaur,blackcentaur,yes,l,20,dark,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,yes,495,130,100,145,120,100,100,110-114,317-382,643-806,warlike,nan,100,100,350,900,1600,100%,100%,100%,8930,legend,hades,moving speed%,0,10,12,15,20,can be moved around on its back. two jumps are possible during the ride.
110,winter caller,frostallion,icehorse,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::icehorse,icehorse,yes,l,20,ice,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,nan,500,140,100,140,120,70,100,110-113,310-373,625-782,escape_to_battle,nan,300,120,120,1000,1500,100%,100%,100%,8440,legend,ice king,elemental power bonus%_ice,50,55,65,80,100,"you can ride on its back and fly in the air. during the ride, the player's attacks will be transformed into elemental ice, and the elemental ice's attacks will be strengthened."
110,night caller,frostallion noct,icehorse_dark,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::icehorse_dark,icehorse_dark,yes,l,20,dark,no_secondary_type,epalgenuscategorytype::fourlegged,epalorganizationtype::none,epalweapontype::none,false,yes,515,140,100,140,135,70,100,110-113,310-373,625-782,escape_to_battle,nan,300,120,120,1000,1500,100%,100%,100%,8560,legend,nan,elemental power bonus%_dark,50,55,65,80,100,"you can ride on its back and fly in the air. during riding, the player's attacks will be transformed into elemental dark, and the attacks of elemental dark will be strengthened."
111,vortex dragon,jetragon,jetdragon,no_pal_name,no_boss_name,no_partner_skill,true,epaltribeid::jetdragon,jetdragon,yes,xl,20,dragon,no_secondary_type,epalgenuscategorytype::dragon,epalorganizationtype::none,epalweapontype::none,false,nan,460,110,100,140,110,100,100,110-113,310-373,625-782,warlike,nan,100,600,800,1700,3300,100%,100%,100%,8680,legend,shenlong,skill power,13,14.3,16.9,20.9,26,you can ride on its back and fly in the air. it can also continuously attack with its missile launcher while riding.
